number,learning_rate,subsample,max_depth,colsample_bytree,min_child_weight,value,std_err
201,0.1,0.85,3,0.6,3,0.878761977455319,0.0016317774374894145
202,0.2,0.85,3,0.6,3,0.8807490598469164,0.002209560720315582
203,0.4,0.85,3,0.6,3,0.8769518563275152,0.0014385629276560201
204,0.05,1,3,0.6,3,0.8750628252549809,0.002178456676942888
205,0.1,1,3,0.6,3,0.8778580594385671,0.0020718644502137422
206,0.2,1,3,0.6,3,0.8802706738713415,0.002178795309430038
207,0.4,1,3,0.6,3,0.8789211327895007,0.0012606926681376094
208,0.05,0.5,5,0.6,3,0.8871815409488898,0.0019449018785353256
209,0.1,0.5,5,0.6,3,0.8861088523959659,0.0016142726527728836
210,0.2,0.5,5,0.6,3,0.8799807339841599,0.0017427467467183832
211,0.4,0.5,5,0.6,3,0.8648341793128336,0.001643885882369587
212,0.05,0.7,5,0.6,3,0.8880069644926022,0.0014987213058015687
213,0.1,0.7,5,0.6,3,0.8867142243262236,0.0014354969033757083
214,0.2,0.7,5,0.6,3,0.8807626220299709,0.001750698177773923
215,0.4,0.7,5,0.6,3,0.8704122428823764,0.001766248527266239
216,0.05,0.85,5,0.6,3,0.8880564353003741,0.0015514835265959324
217,0.1,0.85,5,0.6,3,0.8872508060150804,0.0016029831319738456
218,0.2,0.85,5,0.6,3,0.88124908002697,0.0014000173594835722
219,0.4,0.85,5,0.6,3,0.8707355688875804,0.0010995472359813935
220,0.05,1,5,0.6,3,0.8882297760251467,0.0014637058231511488
221,0.1,1,5,0.6,3,0.8873800770640633,0.001458701037640213
222,0.2,1,5,0.6,3,0.8833981667014872,0.0015281616552781689
223,0.4,1,5,0.6,3,0.8741812833564414,0.001938672313981074
224,0.05,0.5,7,0.6,3,0.890852559780441,0.0017430358407186665
225,0.1,0.5,7,0.6,3,0.8864376685628004,0.0016471077344655215
226,0.2,0.5,7,0.6,3,0.8776756970427912,0.0012897802258822696
227,0.4,0.5,7,0.6,3,0.8645159873506676,0.002202857329092568
228,0.05,0.7,7,0.6,3,0.8910215083759093,0.0011259950042266627
229,0.1,0.7,7,0.6,3,0.8882478787202522,0.0012135537916633944
230,0.2,0.7,7,0.6,3,0.8814005491348692,0.0017191605103578052
231,0.4,0.7,7,0.6,3,0.8721858321779263,0.0018951039419100122
232,0.05,0.85,7,0.6,3,0.8907511253347515,0.0014658477855266558
233,0.1,0.85,7,0.6,3,0.8890507480864561,0.0012569894533284868
234,0.2,0.85,7,0.6,3,0.880876283213994,8.125787297958425e-4
235,0.4,0.85,7,0.6,3,0.8726901851341855,0.0011726009259337812
236,0.05,1,7,0.6,3,0.8911849074566485,0.001371888109292649
237,0.1,1,7,0.6,3,0.8878617274600672,0.0013973200289668327
238,0.2,1,7,0.6,3,0.8829579744449298,0.0013233937319670076
239,0.4,1,7,0.6,3,0.8750790583274771,8.509884968265315e-4
240,0.05,0.5,9,0.6,3,0.8924063051983818,9.513922952658977e-4
241,0.1,0.5,9,0.6,3,0.8865551283451406,9.092454458998462e-4
242,0.2,0.5,9,0.6,3,0.8799366346318208,0.0011974744587768356
243,0.4,0.5,9,0.6,3,0.8653238423771629,0.0016074870784789253
244,0.05,0.7,9,0.6,3,0.8922705943381892,8.164287836961009e-4
245,0.1,0.7,9,0.6,3,0.888314383867353,6.393199180103514e-4
246,0.2,0.7,9,0.6,3,0.8814451826650966,0.001036182280308221
247,0.4,0.7,9,0.6,3,0.8727106322766899,0.0020888866792566838
248,0.05,0.85,9,0.6,3,0.8928370009591461,7.418540780084385e-4
249,0.1,0.85,9,0.6,3,0.8902400951548879,4.365564957085478e-4
250,0.2,0.85,9,0.6,3,0.8832788372965376,0.0011127848336006383
251,0.4,0.85,9,0.6,3,0.8776342092267952,0.0010358369710058357
252,0.05,1,9,0.6,3,0.891986322671934,0.0011168349018042475
