number,max_depth,min_samples_leaf,max_features,min_samples_split,value,std_err
163,32,1,all,50,0.9053868545755461,0.0012832903861497603
164,4,5,all,50,0.8644870173466361,0.001256407507287472
165,8,5,all,50,0.9001379943635143,0.0013632954954258874
166,16,5,all,50,0.9055765882867269,0.0011729305980351247
167,32,5,all,50,0.9054766811872531,0.0012068718726076114
168,4,20,all,50,0.8653161643012163,0.00147883921675844
169,8,20,all,50,0.897015229050541,0.001202545480270675
170,16,20,all,50,0.9014026613268381,0.001088023674477481
171,32,20,all,50,0.9019002256155636,0.0010525549923807076
172,4,50,all,50,0.8639024856745827,0.0013036970811304018
173,8,50,all,50,0.8900172529548612,0.0013714982482471976
174,16,50,all,50,0.8940062766405921,0.0012907799386119064
175,32,50,all,50,0.8947152969694131,0.0011068122666820814
176,4,100,all,50,0.8608525282214623,0.001363021273585487
177,8,100,all,50,0.8813710146454947,0.0013674741313054722
178,16,100,all,50,0.8848256944119163,0.0013679146739073477
179,32,100,all,50,0.8853904554467813,0.001216721545926869
180,4,1,sqrt,150,0.8707870684809593,0.0021791785158704266
181,8,1,sqrt,150,0.8873472801224102,0.0014663517468935675
182,16,1,sqrt,150,0.8949863771917498,0.0013954152049900632
183,32,1,sqrt,150,0.8954902454447515,0.0013822986278865718
184,4,5,sqrt,150,0.86950239667744,0.00139465347965178
185,8,5,sqrt,150,0.887555467078864,0.0013108036575494146
186,16,5,sqrt,150,0.8948384975096414,0.0014939947404626847
187,32,5,sqrt,150,0.8948909394663294,0.001349838169411508
188,4,20,sqrt,150,0.8707056731775102,9.077894662507919e-4
189,8,20,sqrt,150,0.886614478429903,0.0014796644307817199
190,16,20,sqrt,150,0.8932718745608693,0.0012675785904399384
191,32,20,sqrt,150,0.8936564944493887,0.00144037013124461
192,4,50,sqrt,150,0.868909824035474,0.0014891947239314622
193,8,50,sqrt,150,0.8849163309756898,0.0012451044744088162
194,16,50,sqrt,150,0.8904265422268022,0.0015040184360388016
195,32,50,sqrt,150,0.8904861664090433,0.001183664961973256
196,4,100,sqrt,150,0.8686608564803973,0.001309416668542721
197,8,100,sqrt,150,0.8824740229831217,0.0013587830536637543
198,16,100,sqrt,150,0.8860881852389652,0.001321767067224247
199,32,100,sqrt,150,0.8861119568441925,0.0014650815954107982
200,4,1,log2,150,0.8703153153153154,0.0012875510123427812
201,8,1,log2,150,0.8845808351679235,0.0011757411204226787
202,16,1,log2,150,0.8916043686667604,0.0012409423930891735
203,32,1,log2,150,0.8922571314815683,0.0013450280652108969
204,4,5,log2,150,0.8685763677455619,0.0011610736972403352
205,8,5,log2,150,0.8845878027073868,0.0012944746306444252
206,16,5,log2,150,0.891275371992443,0.0013749529170636163
207,32,5,log2,150,0.8921410448576826,0.0013636543816135348
208,4,20,log2,150,0.8705135876777991,0.00130625441234413
209,8,20,log2,150,0.8832674442206505,0.0011485100526486746
210,16,20,log2,150,0.8899697878120755,0.0014053839528892012
211,32,20,log2,150,0.8903939489749715,0.0013173387210248058
212,4,50,log2,150,0.8690734245944385,0.001030231651496774
213,8,50,log2,150,0.882372203225756,0.0015458111154873471
214,16,50,log2,150,0.8872527206582665,0.001395913888475837
215,32,50,log2,150,0.8871003520851874,0.001483540347962193
216,4,100,log2,150,0.868327536808906,7.647104904015732e-4
217,8,100,log2,150,0.8797731939044764,0.0011557268544892033
218,16,100,log2,150,0.8825768576201852,0.0012192475869231736
219,32,100,log2,150,0.8827860984901713,0.0011883589622713998
220,4,1,all,150,0.8646907642044124,0.0012383991479909184
221,8,1,all,150,0.8988471844895155,0.0014121164491339292
222,16,1,all,150,0.9029902356862929,0.0013551968802893834
223,32,1,all,150,0.9030576080846878,0.001328660876834642
224,4,5,all,150,0.8649784435648821,0.0016060675242271715
225,8,5,all,150,0.8989548495636017,0.0013760396569334008
226,16,5,all,150,0.9031225896607179,0.0012834553792633303
227,32,5,all,150,0.9032968757318844,0.0012951751280635378
228,4,20,all,150,0.8645901154620825,0.0012172675963525014
229,8,20,all,150,0.896635849454307,0.0012984536166159315
230,16,20,all,150,0.9001942030852342,0.0011716259739546703
231,32,20,all,150,0.9007398765750152,0.0010261543582856653
232,4,50,all,150,0.8634875072212593,0.0015615257858690931
233,8,50,all,150,0.8897476365013194,0.001482770240536686
234,16,50,all,150,0.8935804662981872,0.0012533089391147426
235,32,50,all,150,0.8942653246834356,0.0011483419576890455
236,4,100,all,150,0.861511819445095,0.0016735164487522958
237,8,100,all,150,0.8814054522460069,0.0012910420820708235
238,16,100,all,150,0.8848604540415632,0.001256105778237466
239,32,100,all,150,0.8852469670710572,0.001223696851990142
