number,learning_rate,subsample,max_depth,colsample_bytree,value,std_err
110,0.05,0.85,5,0.75,0.9100875236154699,0.0012404333896862674
111,0.1,0.85,5,0.75,0.9105538315611973,0.0012474659095744111
112,0.2,0.85,5,0.75,0.9090976938810561,8.663373111282175e-4
113,0.3,0.85,5,0.75,0.9045038604462348,0.0012744118044481633
114,0.5,0.85,5,0.75,0.8956990667010164,5.142639001433185e-4
115,0.05,1,5,0.75,0.9094206110356458,0.0013877498014856066
116,0.1,1,5,0.75,0.9108851702655862,0.0012193860831337913
117,0.2,1,5,0.75,0.9103281184130404,0.001066848368641984
118,0.3,1,5,0.75,0.906980576763939,0.0011013254520029214
119,0.5,1,5,0.75,0.9002293237778506,0.0018187001112076509
120,0.05,0.5,7,0.75,0.9127242688962793,0.0011323540498919477
121,0.1,0.5,7,0.75,0.9094308476587506,0.0011373927729923885
122,0.2,0.5,7,0.75,0.9016574449232595,0.0014907985676419664
123,0.3,0.5,7,0.75,0.895172919886958,0.0014874857459072645
124,0.5,0.5,7,0.75,0.8823914664230955,0.0011360582165728147
125,0.05,0.7,7,0.75,0.9133563242618702,0.0011899598642442666
126,0.1,0.7,7,0.75,0.9110957968366981,9.383410558861785e-4
127,0.2,0.7,7,0.75,0.9053232879760176,0.0012633084153045482
128,0.3,0.7,7,0.75,0.9004421850359892,0.0014102248823283769
129,0.5,0.7,7,0.75,0.8923368288132153,0.0018820265689770334
130,0.05,0.85,7,0.75,0.9136988656767686,0.0012540098668182868
131,0.1,0.85,7,0.75,0.911927949396537,0.001313291344755197
132,0.2,0.85,7,0.75,0.9073921690321171,0.0012533312920911014
133,0.3,0.85,7,0.75,0.9026914902337346,9.216587901122884e-4
134,0.5,0.85,7,0.75,0.8965987380361297,0.0014015165836772426
135,0.05,1,7,0.75,0.9128488161037988,0.001522055511714969
136,0.1,1,7,0.75,0.9117348197417522,0.0016277754489036596
137,0.2,1,7,0.75,0.9083082833700251,0.0012734507572291429
138,0.3,1,7,0.75,0.9041855980764126,0.0015399446953423483
139,0.5,1,7,0.75,0.8994500230299624,0.0017148996036948035
140,0.05,0.5,9,0.75,0.9133023892610115,0.0010673428927692008
141,0.1,0.5,9,0.75,0.909309325573407,0.001329408885507372
142,0.2,0.5,9,0.75,0.900683170171905,0.0012075882685850519
143,0.3,0.5,9,0.75,0.8961825495339361,0.0013054203386663773
144,0.5,0.5,9,0.75,0.8879282889908973,0.0014081758684598845
