number,min_impurity_decrease,min_weight_fraction_leaf,max_depth,value,std_err
70,0,0,8,0.8405751433970865,0.0039116891916770235
71,0.001,0,8,0.8475742388558622,0.0026115520768402855
72,0.005,0,8,0.834382389460789,0.00454215002880643
73,0.01,0,8,0.77914510170747,0.003944895766662582
74,0.02,0,8,0.7707659279975689,0.0025309863785783655
75,0.05,0,8,0.7047583675998557,0.01091419798941531
76,0.1,0,8,0.6889032853127196,0.00171594293300222
77,0,0.01,8,0.8395386305578242,0.0019844929696413148
78,0.001,0.01,8,0.838767574452527,0.0022129323590388194
79,0.005,0.01,8,0.8336566494463543,0.003949859893570312
80,0.01,0.01,8,0.780026020398473,0.004602280429068996
81,0.02,0.01,8,0.7707659279975689,0.0025309863785783655
82,0.05,0.01,8,0.7047583675998557,0.01091419798941531
83,0.1,0.01,8,0.6889032853127196,0.00171594293300222
84,0,0.05,8,0.8116076261609466,0.0030863697614007023
85,0.001,0.05,8,0.7950765714326413,0.0070026731645418385
86,0.005,0.05,8,0.7852954181781923,0.0028347566456119206
87,0.01,0.05,8,0.7735582538793185,0.0035787165792445716
88,0.02,0.05,8,0.7707659279975689,0.0025309863785783655
89,0.05,0.05,8,0.7047583675998557,0.01091419798941531
90,0.1,0.05,8,0.6889032853127196,0.00171594293300222
91,0,0.1,8,0.7350571154868853,0.0035367693325477137
92,0.001,0.1,8,0.7350571154868853,0.0035367693325477137
93,0.005,0.1,8,0.731259911967484,0.0014610769309398265
94,0.01,0.1,8,0.731259911967484,0.0014610769309398265
95,0.02,0.1,8,0.731259911967484,0.0014610769309398265
96,0.05,0.1,8,0.7047583675998557,0.01091419798941531
97,0.1,0.1,8,0.6889032853127196,0.00171594293300222
98,0,0.2,8,0.6972177641450304,0.00772849427412621
99,0.001,0.2,8,0.6889032853127196,0.00171594293300222
100,0.005,0.2,8,0.6889032853127196,0.00171594293300222
101,0.01,0.2,8,0.6889032853127196,0.00171594293300222
102,0.02,0.2,8,0.6889032853127196,0.00171594293300222
103,0.05,0.2,8,0.6889032853127196,0.00171594293300222
104,0.1,0.2,8,0.6889032853127196,0.00171594293300222
