number,min_impurity_decrease,min_weight_fraction_leaf,max_depth,min_samples_split,value,std_err
138,0.05,0.2,12,2,0.7096584149140475,0.0016178934983648063
139,0.1,0.2,12,2,0.7096584149140475,0.0016178934983648063
140,0,0,20,2,0.7507152364669696,0.0026242483071574328
141,0.001,0,20,2,0.8717372203225756,0.0017010033716126627
142,0.005,0,20,2,0.8463688873015129,0.001070221825563589
143,0.01,0,20,2,0.785135749918029,0.003256034617293838
144,0.02,0,20,2,0.781184725670211,0.0014119544896617168
145,0.05,0,20,2,0.7096584149140475,0.0016178934983648063
146,0.1,0,20,2,0.7096584149140475,0.0016178934983648063
147,0,0.01,20,2,0.8615993625774822,0.0018616958479939442
148,0.001,0.01,20,2,0.8612126738957329,0.0018494974278763033
149,0.005,0.01,20,2,0.8378953249176386,0.006482791483773221
150,0.01,0.01,20,2,0.785135749918029,0.003256034617293838
151,0.02,0.01,20,2,0.781184725670211,0.0014119544896617168
152,0.05,0.01,20,2,0.7096584149140475,0.0016178934983648063
153,0.1,0.01,20,2,0.7096584149140475,0.0016178934983648063
154,0,0.05,20,2,0.8119041680328509,9.889846017561337e-4
155,0.001,0.05,20,2,0.8115039638858963,8.627809184130266e-4
156,0.005,0.05,20,2,0.8098871043920871,0.0010345526234371365
157,0.01,0.05,20,2,0.7752021855043952,0.0015463837738634724
158,0.02,0.05,20,2,0.7748513786750355,0.001501228888388237
159,0.05,0.05,20,2,0.7096584149140475,0.0016178934983648063
160,0.1,0.05,20,2,0.7096584149140475,0.0016178934983648063
161,0,0.1,20,2,0.7698045478320609,0.0017262719023831553
162,0.001,0.1,20,2,0.7698045478320609,0.0017262719023831553
163,0.005,0.1,20,2,0.7698045478320609,0.0017262719023831553
164,0.01,0.1,20,2,0.7698045478320609,0.0017262719023831553
165,0.02,0.1,20,2,0.7698045478320609,0.0017262719023831553
166,0.05,0.1,20,2,0.7096584149140475,0.0016178934983648063
167,0.1,0.1,20,2,0.7096584149140475,0.0016178934983648063
168,0,0.2,20,2,0.7096584149140475,0.0016178934983648063
169,0.001,0.2,20,2,0.7096584149140475,0.0016178934983648063
170,0.005,0.2,20,2,0.7096584149140475,0.0016178934983648063
171,0.01,0.2,20,2,0.7096584149140475,0.0016178934983648063
172,0.02,0.2,20,2,0.7096584149140475,0.0016178934983648063
173,0.05,0.2,20,2,0.7096584149140475,0.0016178934983648063
174,0.1,0.2,20,2,0.7096584149140475,0.0016178934983648063
175,0,0,3,5,0.7754925191656128,0.0013764495417933162
176,0.001,0,3,5,0.7754925191656128,0.0013764495417933162
177,0.005,0,3,5,0.7754925191656128,0.0013764495417933162
178,0.01,0,3,5,0.7754925191656128,0.0013764495417933162
179,0.02,0,3,5,0.7726548472215716,0.0023820795562714157
180,0.05,0,3,5,0.7096584149140475,0.0016178934983648063
181,0.1,0,3,5,0.7096584149140475,0.0016178934983648063
182,0,0.01,3,5,0.7754925191656128,0.0013764495417933162
183,0.001,0.01,3,5,0.7754925191656128,0.0013764495417933162
184,0.005,0.01,3,5,0.7754925191656128,0.0013764495417933162
185,0.01,0.01,3,5,0.7754925191656128,0.0013764495417933162
186,0.02,0.01,3,5,0.7726548472215716,0.0023820795562714157
187,0.05,0.01,3,5,0.7096584149140475,0.0016178934983648063
188,0.1,0.01,3,5,0.7096584149140475,0.0016178934983648063
189,0,0.05,3,5,0.7748513786750355,0.001501228888388237
190,0.001,0.05,3,5,0.7748513786750355,0.001501228888388237
191,0.005,0.05,3,5,0.7748513786750355,0.001501228888388237
192,0.01,0.05,3,5,0.7748513786750355,0.001501228888388237
193,0.02,0.05,3,5,0.7748513786750355,0.001501228888388237
194,0.05,0.05,3,5,0.7096584149140475,0.0016178934983648063
195,0.1,0.05,3,5,0.7096584149140475,0.0016178934983648063
196,0,0.1,3,5,0.7698045478320609,0.0017262719023831553
197,0.001,0.1,3,5,0.7698045478320609,0.0017262719023831553
198,0.005,0.1,3,5,0.7698045478320609,0.0017262719023831553
199,0.01,0.1,3,5,0.7698045478320609,0.0017262719023831553
200,0.02,0.1,3,5,0.7698045478320609,0.0017262719023831553
201,0.05,0.1,3,5,0.7096584149140475,0.0016178934983648063
202,0.1,0.1,3,5,0.7096584149140475,0.0016178934983648063
203,0,0.2,3,5,0.7096584149140475,0.0016178934983648063
204,0.001,0.2,3,5,0.7096584149140475,0.0016178934983648063
205,0.005,0.2,3,5,0.7096584149140475,0.0016178934983648063
206,0.01,0.2,3,5,0.7096584149140475,0.0016178934983648063
207,0.02,0.2,3,5,0.7096584149140475,0.0016178934983648063
208,0.05,0.2,3,5,0.7096584149140475,0.0016178934983648063
209,0.1,0.2,3,5,0.7096584149140475,0.0016178934983648063
210,0,0,5,5,0.8615505800427811,0.0031028270152479785
211,0.001,0,5,5,0.8586474776336128,0.003165705502361674
212,0.005,0,5,5,0.8430291914531516,0.002731299728219324
213,0.01,0,5,5,0.785135749918029,0.003256034617293838
214,0.02,0,5,5,0.781184725670211,0.0014119544896617168
215,0.05,0,5,5,0.7096584149140475,0.0016178934983648063
216,0.1,0,5,5,0.7096584149140475,0.0016178934983648063
217,0,0.01,5,5,0.8536452429465861,0.0032680675024500372
218,0.001,0.01,5,5,0.8536448135744064,0.0032678444708076925
219,0.005,0.01,5,5,0.8345968097647041,0.008494914936567786
220,0.01,0.01,5,5,0.785135749918029,0.003256034617293838
221,0.02,0.01,5,5,0.781184725670211,0.0014119544896617168
222,0.05,0.01,5,5,0.7096584149140475,0.0016178934983648063
223,0.1,0.01,5,5,0.7096584149140475,0.0016178934983648063
224,0,0.05,5,5,0.8119041680328509,9.889846017561337e-4
225,0.001,0.05,5,5,0.8115039638858963,8.627809184130266e-4
226,0.005,0.05,5,5,0.8098871043920871,0.0010345526234371365
227,0.01,0.05,5,5,0.7752021855043952,0.0015463837738634724
228,0.02,0.05,5,5,0.7748513786750355,0.001501228888388237
229,0.05,0.05,5,5,0.7096584149140475,0.0016178934983648063
230,0.1,0.05,5,5,0.7096584149140475,0.0016178934983648063
231,0,0.1,5,5,0.7698045478320609,0.0017262719023831553
232,0.001,0.1,5,5,0.7698045478320609,0.0017262719023831553
233,0.005,0.1,5,5,0.7698045478320609,0.0017262719023831553
234,0.01,0.1,5,5,0.7698045478320609,0.0017262719023831553
235,0.02,0.1,5,5,0.7698045478320609,0.0017262719023831553
236,0.05,0.1,5,5,0.7096584149140475,0.0016178934983648063
237,0.1,0.1,5,5,0.7096584149140475,0.0016178934983648063
238,0,0.2,5,5,0.7096584149140475,0.0016178934983648063
239,0.001,0.2,5,5,0.7096584149140475,0.0016178934983648063
240,0.005,0.2,5,5,0.7096584149140475,0.0016178934983648063
241,0.01,0.2,5,5,0.7096584149140475,0.0016178934983648063
242,0.02,0.2,5,5,0.7096584149140475,0.0016178934983648063
243,0.05,0.2,5,5,0.7096584149140475,0.0016178934983648063
244,0.1,0.2,5,5,0.7096584149140475,0.0016178934983648063
245,0,0,8,5,0.8805562321420207,0.0016410076981349115
246,0.001,0,8,5,0.8713298437085265,0.0016357217463062585
247,0.005,0,8,5,0.8463688873015129,0.001070221825563589
248,0.01,0,8,5,0.785135749918029,0.003256034617293838
249,0.02,0,8,5,0.781184725670211,0.0014119544896617168
250,0.05,0,8,5,0.7096584149140475,0.0016178934983648063
251,0.1,0,8,5,0.7096584149140475,0.0016178934983648063
252,0,0.01,8,5,0.8615993625774822,0.0018616958479939442
253,0.001,0.01,8,5,0.8612126738957329,0.0018494974278763033
254,0.005,0.01,8,5,0.8378953249176386,0.006482791483773221
255,0.01,0.01,8,5,0.785135749918029,0.003256034617293838
256,0.02,0.01,8,5,0.781184725670211,0.0014119544896617168
257,0.05,0.01,8,5,0.7096584149140475,0.0016178934983648063
258,0.1,0.01,8,5,0.7096584149140475,0.0016178934983648063
259,0,0.05,8,5,0.8119041680328509,9.889846017561337e-4
260,0.001,0.05,8,5,0.8115039638858963,8.627809184130266e-4
261,0.005,0.05,8,5,0.8098871043920871,0.0010345526234371365
262,0.01,0.05,8,5,0.7752021855043952,0.0015463837738634724
263,0.02,0.05,8,5,0.7748513786750355,0.001501228888388237
264,0.05,0.05,8,5,0.7096584149140475,0.0016178934983648063
265,0.1,0.05,8,5,0.7096584149140475,0.0016178934983648063
266,0,0.1,8,5,0.7698045478320609,0.0017262719023831553
