number,learning_rate,subsample,max_depth,colsample_bytree,value,std_err
116,0.1,1,5,0.75,0.8239546141083759,0.002967141644242185
117,0.2,1,5,0.75,0.806654165548701,0.00429493001454795
118,0.3,1,5,0.75,0.7948543093852511,0.0048398142968514276
119,0.5,1,5,0.75,0.7805434770593431,0.0017300085423739217
120,0.05,0.5,7,0.75,0.8308622522177593,0.0024550719696823107
121,0.1,0.5,7,0.75,0.8178580412972355,0.0031786166405066148
122,0.2,0.5,7,0.75,0.8055176424204603,0.0033365004230916143
123,0.3,0.5,7,0.75,0.798007525458634,0.002173302318913826
124,0.5,0.5,7,0.75,0.7920022322467879,0.0016488565294883691
125,0.05,0.7,7,0.75,0.8281418186848837,0.0029263409841992914
126,0.1,0.7,7,0.75,0.8159778825343772,0.0020782301013778175
127,0.2,0.7,7,0.75,0.8062000118579736,0.0029240135968768644
128,0.3,0.7,7,0.75,0.803292363029518,0.0026759136325876925
129,0.5,0.7,7,0.75,0.7942477103894272,0.003249599239044913
130,0.05,0.85,7,0.75,0.8262333883690697,0.00286873538709794
131,0.1,0.85,7,0.75,0.8131063770775321,0.003863919486251293
132,0.2,0.85,7,0.75,0.8060269658359721,0.002875386861871704
133,0.3,0.85,7,0.75,0.8029639909517632,0.0027955079190123697
134,0.5,0.85,7,0.75,0.7938364664846435,0.0028041027804222886
135,0.05,1,7,0.75,0.8247665838283368,0.0035448943362939504
136,0.1,1,7,0.75,0.8114996551473487,0.003398374993127368
137,0.2,1,7,0.75,0.7966418151676882,0.003151918707023471
138,0.3,1,7,0.75,0.7932101711936324,0.002047198730324382
139,0.5,1,7,0.75,0.7909220177447541,0.003413376355371804
140,0.05,0.5,9,0.75,0.8296034311750147,0.0024457789780279594
141,0.1,0.5,9,0.75,0.8216754713795748,0.003312379728814099
142,0.2,0.5,9,0.75,0.8122551152584988,0.0032196389069578542
143,0.3,0.5,9,0.75,0.8057225776822887,0.003444878611312634
144,0.5,0.5,9,0.75,0.7969125387352097,0.0027370110896026627
145,0.05,0.7,9,0.75,0.8264973790193589,0.002083420647878343
146,0.1,0.7,9,0.75,0.8191268109788757,0.0038526790696993833
147,0.2,0.7,9,0.75,0.8130129201666949,0.0026853811199024197
