draw,hl_measure,term,estimate,std_error
16,HL_COVID,age_group30-44,-0.03614795724422568,0.041798124931178675
16,HL_COVID,age_group45-64,0.1193479250035432,0.038234638720849264
16,HL_COVID,age_group65+,0.4679265919757101,0.04680826179022658
16,HL_COVID,region_hls19North East,-0.10888791535607568,0.03958226562121679
16,HL_COVID,region_hls19North West,-0.06114105973115323,0.03660977130712062
16,HL_COVID,region_hls19South and Islands,-0.043810067314495015,0.03514107518350103
16,VL,vl_num,-0.026345257772866996,0.014066587248780328
16,VL,age_group30-44,-0.036032436548933906,0.04178845708931203
16,VL,age_group45-64,0.12055791267255142,0.038216236193708744
16,VL,age_group65+,0.4698955241096975,0.04679435887637125
16,VL,region_hls19North East,-0.10938690141158279,0.039567681455725257
16,VL,region_hls19North West,-0.060541887939182956,0.03659243373045808
16,VL,region_hls19South and Islands,-0.045640872161237626,0.03513483863755688
17,HL_COVID,hl_covid_num,0.021259754693078267,0.014231818407382597
17,HL_COVID,age_group30-44,-0.03429602599886674,0.04180034554216218
17,HL_COVID,age_group45-64,0.12196429517298273,0.038242358861772706
17,HL_COVID,age_group65+,0.4706296768298553,0.04681109091309613
17,HL_COVID,region_hls19North East,-0.1075608041764051,0.039569221924908506
17,HL_COVID,region_hls19North West,-0.059934817802597976,0.036595754035766224
17,HL_COVID,region_hls19South and Islands,-0.04265890655622651,0.03511547856357523
17,VL,vl_num,-0.007897178084939168,0.013983572010863336
17,VL,age_group30-44,-0.0361266387220162,0.041789596442829806
17,VL,age_group45-64,0.11966013864797191,0.03821254220927372
17,VL,age_group65+,0.46875887557798157,0.04678943538479032
17,VL,region_hls19North East,-0.10880570502145942,0.03956683924236949
17,VL,region_hls19North West,-0.061040657025752385,0.03659409834620073
17,VL,region_hls19South and Islands,-0.04410064057598172,0.035137034764112444
18,HL_COVID,hl_covid_num,0.012973197938902137,0.014212603295423044
18,HL_COVID,age_group30-44,-0.035573526095312905,0.041787746370076574
18,HL_COVID,age_group45-64,0.12085021719920229,0.03823092918402665
18,HL_COVID,age_group65+,0.4694166669311236,0.04679945849956498
18,HL_COVID,region_hls19North East,-0.1074947535927423,0.03957810438347539
18,HL_COVID,region_hls19North West,-0.060130899125375,0.03659723073944032
18,HL_COVID,region_hls19South and Islands,-0.042330367045565816,0.03512975926627682
18,VL,vl_num,0.0013190787110033012,0.014018532145669274
18,VL,age_group30-44,-0.035838751907746574,0.04178627178758125
18,VL,age_group45-64,0.1197413892067958,0.03821327886869504
18,VL,age_group65+,0.4682992590932421,0.046796864869339753
18,VL,region_hls19North East,-0.10843858896579896,0.03956742259278624
18,VL,region_hls19North West,-0.06071676674757117,0.036593757720492136
18,VL,region_hls19South and Islands,-0.04323621695871838,0.03513164414421581
19,HL_COVID,hl_covid_num,-0.00948341516420298,0.014259729510276044
19,HL_COVID,age_group30-44,-0.03660477511016638,0.04180318417101474
19,HL_COVID,age_group45-64,0.1187710478181575,0.03824216724699716
19,HL_COVID,age_group65+,0.4671900236521594,0.04682064777633131
19,HL_COVID,region_hls19North East,-0.10925326195043429,0.03957979019531208
19,HL_COVID,region_hls19North West,-0.06127188380299441,0.03659888450372001
19,HL_COVID,region_hls19South and Islands,-0.044117945420025305,0.03513095653281064
19,VL,vl_num,-0.018309010129453282,0.014032953110100693
19,VL,age_group30-44,-0.036066417342036874,0.041788060816193955
19,VL,age_group45-64,0.1197301824692114,0.03821323872900059
19,VL,age_group65+,0.4693231668700483,0.046791722049184005
19,VL,region_hls19North East,-0.10895864303514724,0.03956501423674471
19,VL,region_hls19North West,-0.06096266277051306,0.036591661321268704
19,VL,region_hls19South and Islands,-0.044820116334043474,0.035130730461428616
20,HL_COVID,hl_covid_num,0.006405428445853666,0.014201647680033576
20,HL_COVID,age_group30-44,-0.035448160609254625,0.041793802531522976
20,HL_COVID,age_group45-64,0.12030476439584543,0.03822913217578513
20,HL_COVID,age_group65+,0.46905560467869434,0.04680666583839956
20,HL_COVID,region_hls19North East,-0.10828237729059009,0.03956596844302192
20,HL_COVID,region_hls19North West,-0.060473813706995234,0.03659626282271741
20,HL_COVID,region_hls19South and Islands,-0.04301384664446633,0.035119856931566676
20,VL,vl_num,-0.011701700675966747,0.0140574148302673
20,VL,age_group30-44,-0.035699841419876754,0.04178682881258233
20,VL,age_group45-64,0.12008381078029079,0.038214432333895376
20,VL,age_group65+,0.46903354945307457,0.046791946799338804
20,VL,region_hls19North East,-0.10882537482066418,0.03956561910958881
