model_number,model_type,draw,metric,Q_i,U_i
model_2,xgboost,15,precision,0.9689313913995434,1.2465475499832773e-7
model_2,xgboost,15,recall,0.7783967148723442,7.428469187392618e-6
model_2,xgboost,15,roc_auc,0.8396125323372635,3.360754550381777e-6
model_2,xgboost,15,accuracy,0.7748614281056407,5.793872719141039e-6
model_2,xgboost,15,f1,0.8632650249564867,2.823934976339291e-6
model_2,xgboost,16,precision,0.9686894670314207,6.490953096813249e-8
model_2,xgboost,16,recall,0.7788252097839672,6.175727859446636e-6
model_2,xgboost,16,roc_auc,0.8397259870171937,3.646663466095126e-6
model_2,xgboost,16,accuracy,0.7750570590153244,4.787652438651669e-6
model_2,xgboost,16,f1,0.8634342553881734,2.3269438366939223e-6
model_2,xgboost,17,precision,0.9684205751541957,8.78741488111692e-8
model_2,xgboost,17,recall,0.7786109623281556,1.1338424690849381e-5
model_2,xgboost,17,roc_auc,0.8395882469392861,4.213688400469291e-6
model_2,xgboost,17,accuracy,0.774665797195957,9.470589929994095e-6
model_2,xgboost,17,f1,0.863189525599566,4.551625420334006e-6
model_2,xgboost,18,precision,0.96853888902633,1.7477214256859152e-7
model_2,xgboost,18,recall,0.7782538832351366,5.409419932631849e-6
model_2,xgboost,18,roc_auc,0.8398307324509527,3.5674177815025573e-6
model_2,xgboost,18,accuracy,0.7744375611346593,4.152984179325555e-6
model_2,xgboost,18,f1,0.8630240606328357,2.0233425200663212e-6
model_2,xgboost,19,precision,0.9684013189006414,1.982830628196907e-7
model_2,xgboost,19,recall,0.7791108730583824,8.40069846226155e-6
model_2,xgboost,19,roc_auc,0.8395426908823906,4.076381119617607e-6
model_2,xgboost,19,accuracy,0.7750896641669384,6.3004379210989916e-6
model_2,xgboost,19,f1,0.863491471282378,3.0930063482693866e-6
model_2,xgboost,20,precision,0.9686906044319631,6.638653848525965e-8
model_2,xgboost,20,recall,0.7788252097839672,6.300045701151243e-6
model_2,xgboost,20,roc_auc,0.8398096292775379,3.457602645046093e-6
model_2,xgboost,20,accuracy,0.7750570590153244,4.5936374347538115e-6
model_2,xgboost,20,f1,0.8634340152720739,2.276198821211323e-6
model_2,rf,1,precision,0.9634001978194054,2.347695209807175e-7
model_2,rf,1,recall,0.8167827173718979,3.6160553751193897e-6
model_2,rf,1,roc_auc,0.8330992220968314,1.4049458299703434e-6
model_2,rf,1,accuracy,0.80436909031627,3.0909513634683775e-6
model_2,rf,1,f1,0.8840489353269827,1.3349568375250215e-6
model_2,rf,2,precision,0.9634961039089578,1.356207245854323e-7
model_2,rf,2,recall,0.817139796464917,6.360610803520101e-6
model_2,rf,2,roc_auc,0.8328571720474734,1.4211942452669209e-6
model_2,rf,2,accuracy,0.8047603521356375,5.2107646115357e-6
model_2,rf,2,f1,0.8842950415759244,2.2763492673971786e-6
model_2,rf,3,precision,0.963469913857689,2.3535823288133212e-7
model_2,rf,3,recall,0.8165327620067845,3.444560506306418e-6
model_2,rf,3,roc_auc,0.8329655016710028,1.418921404646376e-6
model_2,rf,3,accuracy,0.8042060645582002,3.154737118174541e-6
model_2,rf,3,f1,0.883932373834654,1.3458151198135233e-6
model_2,rf,4,precision,0.9636670115658502,1.5429228464377428e-7
model_2,rf,4,recall,0.8173540439207284,4.360687370560059e-6
model_2,rf,4,roc_auc,0.8331485298290007,1.5641491682157588e-6
model_2,rf,4,accuracy,0.805086403651777,3.86329054336853e-6
model_2,rf,4,f1,0.8844953824636949,1.6617458307378325e-6
model_2,rf,5,precision,0.9635567417735192,1.9112440502354018e-7
model_2,rf,5,recall,0.8176039992858418,5.61852891765282e-6
model_2,rf,5,roc_auc,0.8326731389764559,1.193156606082079e-6
model_2,rf,5,accuracy,0.8052168242582328,4.707920245268958e-6
model_2,rf,5,f1,0.8845933133243665,2.048922336949417e-6
model_2,rf,6,precision,0.9635277804990778,1.5591399217894407e-7
model_2,rf,6,recall,0.8178896625602571,5.712245444476272e-6
model_2,rf,6,roc_auc,0.8330010755919022,1.5914307667033502e-6
model_2,rf,6,accuracy,0.8054450603195304,4.913097756240324e-6
model_2,rf,6,f1,0.8847484432538454,2.1259785113720932e-6
model_2,rf,7,precision,0.9630418427984822,8.160797357641053e-8
model_2,rf,7,recall,0.8169612569184075,4.202580577007548e-6
model_2,rf,7,roc_auc,0.8326977928425405,1.483411983159735e-6
model_2,rf,7,accuracy,0.8042386697098142,3.5730653594555817e-6
model_2,rf,7,f1,0.8840021447910164,1.5516419714238494e-6
model_2,rf,8,precision,0.9633203378362775,1.6452344658335702e-7
model_2,rf,8,recall,0.8168541331905017,4.556408280320481e-6
model_2,rf,8,roc_auc,0.8328937508813925,1.299001940703717e-6
model_2,rf,8,accuracy,0.8043690903162699,4.20720207082578e-6
model_2,rf,8,f1,0.8840566594413409,1.7957054913062627e-6
model_2,rf,9,precision,0.9638145069378276,2.610156560533117e-7
